Time (Hours),CO FE 16,CO FE 41,CO FE 65,C2H4 FE 16,C2H4 FE 41,C2H4 FE 65,J Total 16,J Total 41,J Total 65,J CO 16,J CO 41,J CO 65,J C2H4 16,J C2H4 41,J C2H4 65,S_CO 16,S_CO 41,S_CO 65,Rough 16,Rough 41,Rough 65
0.5,3.810874388,1.965811966,1.734904234,5.789961839,16.83760684,8.082934569,4.623853211,3.58877178,4.992916303,0.176209238,0.070548505,0.086622316,0.267719336,0.604263283,0.403574158,0.396931507,0.104545455,0.176709383,1,1,1
2,6.543584723,2.393162393,2.156323792,10.24342867,20.76923077,9.721385824,3.550458716,3.240072394,4.52114211,0.232327274,0.077540194,0.097490463,0.363688706,0.672938113,0.439517668,0.389800411,0.103321033,0.181543737,1.358470071,1.11365051,1.089062963
4,7.550432462,2.307692308,2.660702907,11.16422913,19.82905983,8.573570384,3.247706422,3.331417013,4.246076722,0.24521588,0.076878854,0.112975487,0.362581386,0.660588673,0.364040376,0.40345012,0.104247104,0.236838008,1.35433395,1.093213325,0.90204085
6,8.040429173,2.307692308,2.556378765,9.761374782,18.11965812,7.686627769,3.220183486,3.258383903,4.194783493,0.258916572,0.075193475,0.107234554,0.314334179,0.590408023,0.322437393,0.45166373,0.112970711,0.249573087,1.174118325,0.977070824,0.798954508
8,7.669763965,2.735042735,2.539012232,8.53023677,13.84615385,5.408363423,3.19266055,3.240072394,3.863775065,0.244869528,0.088617365,0.098101722,0.272341504,0.448625408,0.208966997,0.473442199,0.164948454,0.319478069,1.017264976,0.742433673,0.517790828
10,7.643476994,2.564102564,2.347605542,6.783004189,11.11111111,3.825759942,3.110091743,3.386209589,3.75655696,0.237719147,0.086825887,0.088189139,0.210957653,0.37624551,0.143716851,0.529822685,0.1875,0.380279695,0.787980637,0.622651617,0.356110144
12,7.014859059,2.307692308,2.330239008,5.552055292,9.487179487,2.330114069,3.110091743,3.422619681,3.733235251,0.218168552,0.078983531,0.086993304,0.172674013,0.324710072,0.08698864,0.558200594,0.195652174,0.500013404,0.644981478,0.537365221,0.215545614
